depot,street,country_code,city,bu_code,lat,lng,post_code
0173,Carl-Benz-Str. 17,DE,Ludwigsburg,001,48.918651,9.144799,71634
0174,Pfaffenstrasse 31,DE,Heilbronn,001,49.182332,9.173332,74078
0175,Eichmattweg 18,DE,Steinen,001,47.63954,7.7384,79585
0176,Siemensstrasse 1,DE,Malsch,001,48.892626,8.313895,76316
0177,Schickhardtallee 2,DE,Nagold,001,48.561724,8.749962,72202
0178,In Rammelswiesen 20,DE,Villingen-Schwenningen,001,48.059638,8.560409,78056
0179,Blankreutestr. 5,DE,Freiburg,001,48.035201,7.814083,79108
0180,Ludwig-Erhard-Str. 12,DE,Neufahrn,001,48.31333,11.64854,85375
0181,Ludwig-Erhard-Str. 12,DE,Neufahrn,001,48.31333,11.64854,85375
0182,Buergermeister-Graf-Ring 12,DE,Geretsried - Gelting,001,47.887652,11.435988,82538
0183,Am Langwiesfeld 11,DE,Obertraubling,001,48.970555,12.166421,93083
0184,Braeuackerring 1,DE,Obing,001,47.995531,12.400849,83119
0186,Carl-von-Linde-Strasse 5,DE,Aichach,001,48.402825,11.087983,86551
0187,Buergermeister-Merk-Strasse 9,DE,Holzguenz,001,48.020143,10.270059,87752
0188,Buergermeister-Merk-Strasse 9,DE,Holzguenz,001,48.020143,10.270059,87752
0189,Ernst-Abbe-Strasse 5,DE,Neu-Ulm,001,48.395869,10.041011,89231
0190,Triester Strasse 11,DE,Nuernberg,001,49.401165,11.058929,90451
0191,Innovativring 2,DE,Dinkelsbuehl,001,49.0981596,10.24744,91550
0192,Buergermeister-Unsicker-Str. 15,DE,Wernberg-Koeblitz,001,49.525886,12.145174,92533
0193,Am Langwiesfeld 11,DE,Obertraubling,001,48.970555,12.166421,93083
0194,Gunskirchener Str. 2,DE,Hengersberg,001,48.760104,13.055638,94491
0195,Raiffeisenstrasse 11,DE,Leupoldsgruen,001,50.290234,11.807978,95191
0196,Birkleite 4,DE,Ebersdorf,001,50.222588,11.069083,96237
0197,Friedrich-Koenig-Strasse 45,DE,Wuerzburg,001,49.82223,9.874442,97080
0198,Am Stückelgarten 18,DE,Meiningen,001,50.5541156,10.3741925,98617
0199,Steinbruechenstrasse 15,DE,Nohra,001,50.963513,11.255931,99428
0200,Steinbruechenstrasse 15,DE,Nohra,001,50.963513,11.255931,99428
0201,Nikolaus-Otto-Straße 3,DE,Bautzen,001,51.193739,14.343351,02625
0202,Inselallee 11,DE,Kesselsdorf,001,51.042141,13.587891,01723
0203,OT Gross Beuchow-Robinienweg,DE,Luebbenau/Spreewald,001,51.838159,13.904035,03222
